file_name	image_name	position	word	position_index	cat	previous_letter	next_letter	frequency	vowel_before	vowel_after	syllable_position	morpheme_position	occurrence	bigram_before	bigram_after	trigram	end_position_previous	start_position_next	bigram_before_freq	bigram_after_freq	bigram_before_logfreq	bigram_after_logfreq	bigram_before_prob	bigram_after_prob	bigram_before_cond_prob	bigram_after_cond_prob	bigram_before_surprisal	bigram_after_surprisal	trigram_freq	trigram_logfreq	trigram_prob	trigram_cond_prob	trigram_surprisal
s_313-klassischen-3-mid-stem-1.csv	s_313.png	mid	klassischen	3	stem	a	s	0.0	True	False	fin	mid	1	as	ss	ass	line_right	middle	442135	370866	12.999372806039958	12.82359878675043	0.004268722056312645	0.003580634589291608	0.09103041525813346	0.07471584624813092	5.456440780771983	5.63221523469949	130273	11.777395203678102	0.0014731156867749846	0.2946453006434686	6.520375606381273
s_313-klassischen-3-mid-stem-2_aux.csv	s_313.png	mid	klassischen	3	stem	a	s	0.0	True	False	fin	mid	1	as	ss	ass	line_right	middle	442135	370866	12.999372806039958	12.82359878675043	0.004268722056312645	0.003580634589291608	0.09103041525813346	0.07471584624813092	5.456440780771983	5.63221523469949	130273	11.777395203678102	0.0014731156867749846	0.2946453006434686	6.520375606381273
s_314-klassischen-4-mid-stem-1.csv	s_314.png	mid	klassischen	4	stem	s	i	0.0	False	True	ini	fin	1	ss	si	ssi	line_left	middle	370866	404512	12.82359878675043	12.910439153406776	0.003580634589291608	0.0039054797662323505	0.07471584624813092	0.08149427663232525	5.63221523469949	5.545374643766582	38348	10.55448373083613	0.0004336358290393797	0.10340122847605335	7.743305479704251
s_315-klassischen-6-mid-der-1.csv	s_315.png	mid	klassischen	6	der	i	c	0.0	True	False	ini	mid	1	is	sc	isc	top	middle	589101	553042	13.286354622513352	13.223191035166852	0.005687648415293598	0.005339506222007435	0.08546248093200515	0.11141760377268022	5.16945840004886	5.232622098074313	143030	11.870816668964741	0.0016173707267002836	0.24279368054034878	6.426953456452193
s_315-klassischen-6-mid-der-2_aux.csv	s_315.png	mid	klassischen	6	der	i	c	0.0	True	False	ini	mid	1	is	sc	isc	top	middle	589101	553042	13.286354622513352	13.223191035166852	0.005687648415293598	0.005339506222007435	0.08546248093200515	0.11141760377268022	5.16945840004886	5.232622098074313	143030	11.870816668964741	0.0016173707267002836	0.24279368054034878	6.426953456452193
s_315-klassischen-6-mid-der-3_aux.csv	s_315.png	mid	klassischen	6	der	i	c	0.0	True	False	ini	mid	1	is	sc	isc	top	middle	589101	553042	13.286354622513352	13.223191035166852	0.005687648415293598	0.005339506222007435	0.08546248093200515	0.11141760377268022	5.16945840004886	5.232622098074313	143030	11.870816668964741	0.0016173707267002836	0.24279368054034878	6.426953456452193
s_316-Menschen-3-mid-stem-1.csv	s_316.png	mid	Menschen	3	stem	n	c	0.0206185567010309	False	False	ini	mid	2	ns	sc	nsc	line_right	middle	329428	553042	12.705116131709016	13.223191035166852	0.0031805592625939174	0.005339506222007435	0.0385837703797871	0.11141760377268022	5.75069822891292	5.232622098074313	55383	10.922046022357861	0.0006262661186942726	0.16811867843656278	7.375735167462459
s_316-Menschen-3-mid-stem-2_aux.csv	s_316.png	mid	Menschen	3	stem	n	c	0.0206185567010309	False	False	ini	mid	2	ns	sc	nsc	line_right	middle	329428	553042	12.705116131709016	13.223191035166852	0.0031805592625939174	0.005339506222007435	0.0385837703797871	0.11141760377268022	5.75069822891292	5.232622098074313	55383	10.922046022357861	0.0006262661186942726	0.16811867843656278	7.375735167462459
s_317-ist-1-mid-stem-1.csv	s_317.png	mid	ist	1	stem	i	t	0.045360824742268	True	False	mid	mid	17	is	st	ist	top	top	589101	897911	13.286354622513352	13.707827346936803	0.005687648415293598	0.008669145148666681	0.08546248093200515	0.180896011552705	5.16945840004886	4.747985091820567	218974	12.296712847031289	0.0024761388345694467	0.37170875622346594	6.001054853611638
s_318-Wünschen-3-mid-stem-1.csv	s_318.png	mid	Wünschen	3	stem	n	c	0.0	False	False	ini	mid	1	ns	sc	nsc	line_right	middle	329428	553042	12.705116131709016	13.223191035166852	0.0031805592625939174	0.005339506222007435	0.0385837703797871	0.11141760377268022	5.75069822891292	5.232622098074313	55383	10.922046022357861	0.0006262661186942726	0.16811867843656278	7.375735167462459
